# logical length type devid physical [devid2 physical2]
26296320 4112384 4 1 34684928
30408704 1073741824 36 1 1112539136 1 38797312
78413561856 1073741824 36 1 77348208640 1 78421950464
489656680448 1073741824 36 1 485370101760 1 486443843584
788156907520 1073741824 36 1 781722845184 1 782796587008
926669602816 1073741824 36 1 908424380416 1 909498122240
1100615778304 1073741824 36 1 110634205184 1 111707947008
1115648163840 1073741824 36 1 419871850496 1 420945592320
1362424233984 1073741824 36 1 431683010560 1 432756752384
1450471063552 1073741824 36 1 49430921216 1 50504663040
1452618547200 1073741824 36 1 52652146688 1 53725888512
1461208481792 1073741824 36 1 87011885056 1 88085626880
1521338023936 1073741824 36 1 768837943296 1 769911685120
1533149184000 1073741824 36 1 148215169024 1 149288910848
1750934224896 536870912 36 1 999692435456 1 1000229306368
1751471095808 536870912 36 1 1008282370048 1 1008819240960
1752007966720 536870912 36 1 1021167271936 1 1021704142848
1752544837632 1073741824 36 1 186869874688 1 187943616512
1753618579456 1073741824 36 1 253441867776 1 254515609600
1755765538816 536870912 36 1 995397468160 1 995934339072
1756302409728 536870912 36 1 957816504320 1 958353375232
1756839280640 1073741824 36 1 932046700544 1 933120442368
1796567728128 20234240 36 1 18325962752 1 18292408320
1896341831680 536870912 36 1 715150852096 1 715687723008
